TYPE;COMPOUND;POSITIVE;NEGATIVE;NEUTRAL;SENTENCE
0;0.0;0;0;1;Una década mezquina en la que privilegiamos el presente y comprometimos el futuro de nuestros hijos.
0;0.0;0;0;1;una década mentirosa.
0;0.0;0;0;1;una década mentirosa porque tuvimos una bonanza formidable.
1;-0.296;0;0;0;Como la que el país no había tenido en 70 años entre 2004 y 2013 2005 2014.
1;-0.296;0;0;0;Precio de los productos agropecuarios la soja el trigo el maíz la carne la lana el arroz que impulsaron un crecimiento formidable muy atípico que ocurrió en absolutamente toda América Latina no sólo en el Uruguay.
1;-0.5267;0;0;0;Por supuesto bueno sería que no hubiera ocurrido crecieron los ingresos crecieron los salarios crecieron bajó la pobreza bajó la indiferencia y parte de los logros que Oscar acaba de señalar bueno sería que no hubieran ocurrido en ese esquema era un bollo administrar una abundancia que sólo ocurre cada 70 años pero lo cierto es que en los últimos cinco años se terminó la suerte.
0;0.0;0;0;1;se terminó la suerte y el Frente Amplio tuvo que administrar la escasez.
0;0.0;0;0;1;Y qué ocurrió en los últimos cinco años.
0;0.0;0;0;1;Este es el país que el Frente Amplio va a dejar primero en la producción nacional contra las cuerdas empresas que cierran se achican problemas financieros que dejan trabajadores cesantes 60000 empleos se perdieron en los últimos cuatro.
1;-0.296;0;0;0;Uno de cada cuatro jóvenes no pueden encontrar trabajo y piensan en emigrar como su único futuro.
1;-0.296;0;0;0;Segundo gastamos como si no hubiera mañana.
1;-0.296;0;0;0;irresponsablemente y hoy tenemos un agujero fiscal que no sabemos cómo cubrir.
0;0.0;0;0;1;Nos estamos endeudando peligrosamente y sabemos como terminan esas películas.
0;0.0;0;0;1;Tercero.
0;0.0;0;0;1;la mitad de los chiquilines que nacen en el país hoy nacen en los cinturones de pobreza que rodean a todas las periferias pobres urbanas.
0;0.0;0;0;1;y solo 19 de 100 terminan el liceo.
0;0.0;0;0;1;Lo dejamos abandonados condenados a la changa a la informalidad a la dependencia de la tarjeta del Mides o peor aún al delito y. a. la droga.
1;-0.296;0;0;0;No en vano.
1;-0.296;0;0;0;No en vano.
0;0.0;0;0;1;las rapiñas van a batir el récord después de una década de bonanza excepcional y los homicidios.
0;0.0;0;0;1;este año van a batir los récords.
0;0.0;0;0;1;Estamos en epidemia de homicidio según la Organización Mundial de la salud y en el cuarto lugar mayor en homicidios en América Latina.
0;0.0;0;0;1;Esa es la herencia que nos va a dejar el Frente Amplio después de cinco años de escasez.
0;0.0;0;0;1;Los años de bonanza disimularon todo parecía que todo andaba bien.
0;0.0;0;0;1;Ahora se ve la realidad tenemos Batlle Planas tenemos más computadoras más celulares más autos y tenemos más votos pero somos una sociedad más crispada más agresiva más violenta más fracturada una sociedad que vive peor.
1;-0.5574;0;0;0;Lamentablemente el Frente Amplio es un proyecto político terminado agotado sin ilusión.
1;-0.296;0;0;0;que no tiene capacidad de encarar los desafíos que plantea el porvenir.
0;0.0;0;0;1;Por eso es que nacimos a la política para devolverle al Uruguay el futuro.
0;0.0;0;0;1;Argentina-Brasil le fue muy mal.
0;0.0;0;0;1;en estos últimos años y al Uruguay le fue relativamente mejor.
1;-0.8402;0;0;0;si nos comparamos con los peores de la clase no fue peor que a Perú no fue peor que Colombia no fue peor que a Bolivia no fue peor que Paraguay no fue peor que Chile.
1;-0.8402;0;0;0;Desde el 2014 cuando el Frente Amplio empezó a tener que administrar la escasez no la abundancia está claro que el Frente Amplio no sabe administrar la escasez solo puede administrar la abundancia repartir lo que no hay y distribuir lo que no hay y que luego no va a haber y estamos hoy pagando las consecuencias con un déficit fiscal enorme que va a terminar siendo una bomba de tiempo para el gobierno que le toque entrar a partir del primero de marzo incluyendo si al Frente Amplio le toca ganar esta elección.
1;-0.886;0;0;0;En el año 2004 el Uruguay de 2002 a 2004 vivió la peor crisis de su historia como país independiente no por errores de gestión sino porque sufrimos un contagio severo de la aftosa y de una crisis bancaria que heredamos de la Argentina.
0;0.0;0;0;1;El doctor Jorge Batlle tuvo que manejar de una manera.
0;0.0;0;0;1;reconocida internacionalmente y que dejó al país posicionado para el crecimiento que después obtuvo durante la gestión del Frente Amplio.
1;-0.296;0;0;0;Yo me pregunto si no hubiera estado el ministro Astori.
1;-0.6249;0;0;0;el el capitán de la moderación el que inoculó al Frente Amplio contra los delirios kirchneristas y chavistas en dónde estaríamos hoy si el Frente Amplio hubiera tenido que manejar la crisis que manejó el doctor Batlle y hubiéramos hecho caso a lo que el doctor Vázquez pedía en ese momento que era que hiciéramos lo que Argentina que entrábamos en cesación de pagos es muy otro lugar.
1;-0.296;0;0;0;Estaríamos hoy de no haber estado el doctor Batlle conduciendo los destinos del país.
0;0.0;0;0;1;La Patria Grande es política exterior por amistad ideológica.
0;0.0;0;0;1;La Patria Grande es un continente unido liderado por el chavismo por el castrismo y los proyectos delirantes de la Unasur Telesur oleoducto Venezuela Caracas etcétera.
0;0.0;0;0;1;La Patria Grande es una cárcel grande donde vamos a quedar atrapados.
1;-0.5574;0;0;0;sin poder aprovechar las oportunidades que nos brinda.
0;0.0;0;0;1;El mundo.
0;0.0;0;0;1;La patria grande para nosotros es el mundo.
1;-0.296;0;0;0;Nosotros vamos a hacer lo que hicieron los chilenos en los últimos 30 años con gobiernos socialistas democristianos liberales salieron a la conquista del mundo y no conquistar.
1;-0.7351;0;0;0;Chile hoy tiene acceso al 86 por ciento de la economía mundial sin tener que pagar peaje para vender los productos.
0;0.0;0;0;1;nosotros tenemos acceso.
0;0.0;0;0;1;A 6 por ciento de la economía mundial.
0;0.0;0;0;1;Tenemos que pagar peaje para vender nuestros productos a cualquier mercado.
0;0.0;0;0;1;y un productor de fruta chileno vive bárbaro y un productor de verduras chileno vive bárbaro y los nuestros se funden.
0;0.0;0;0;1;Nosotros vamos a terminar con la diplomacia de coctel.
1;-0.5267;0;0;0;Vamos por una diplomacia comercial a la neozelandesa y chilena vamos a tener una gran fuerza de venta desplegada a lo largo y ancho del mundo en oficinas comerciales para colocar productos uruguayos al mundo con trabajo de los uruguayos no mandar uruguayos al mundo porque aquí no encuentran trabajo y vamos por un Mercosur zona de libre comercio ágil y dinámica que nos permita recuperar la soberanía comercial.
0;0.0;0;0;1;pero también vamos a terminar con la política exterior de proximidad ideológica de amistad ideológica como la que el Frente Amplio tuvo.
0;0.0;0;0;1;para la vida comercial y para la vida diplomática con Cuba y con Venezuela.
0;0.0;0;0;1;En fin tu partido Oscar defiende a Venezuela y a Cuba.
0;0.0;0;0;1;a pesar de que.
1;-0.296;0;0;0;son lo que son no son democracias diferentes democracias originales democracias pintorescas distintas formas de organizar la vida democrática son dictaduras son dictaduras y la enorme mayoría de los uruguayos piensa exactamente eso pero en el Frente Amplio está prohibido calificar a Venezuela o a Cuba como dictaduras.
2;0.34;0;0;0;Yo creo que este hecho nos ha colocado en una situación.
2;0.34;0;0;0;que nos ha dado vergüenza a nivel internacional haciendo dos cómplices de una dictadura militar que viola todos los derechos habidos y por haber y alejándonos flagrantemente de lo que han sido las tradiciones uruguayas más queridas por la enorme mayoría de la población que es el respeto por la democracia y por los derechos humanos.
0;0.0;0;0;1;Oscar.
0;0.0;0;0;1;Mirá.
0;0.0;0;0;1;el Mercosur.
2;0.34;0;0;0;ha sido para nosotros.
0;0.0;0;0;1;Un fracaso.
1;-0.296;0;0;0;No lo podemos ir.
0;0.0;0;0;1;pero vamos a tener que modificarlo.
0;0.0;0;0;1;300 millones de personas a la que les íbamos a poder vender productos.
1;-0.5267;0;0;0;No viene nadie para venderle productos a dos países que hoy nos dejan entrar y mañana no nos dejan absolutamente inestables.
0;0.0;0;0;1;Los chilenos.
0;0.0;0;0;1;Contrario a lo que tú decís.
0;0.0;0;0;1;empezaron un proceso de conquista y apertura del mundo en los años 90.
0;0.0;0;0;1;Es a partir de allí que se firmaron los grandes tratados.
1;-0.5267;0;0;0;Gobierno socialista democristianos liberales siguiendo todos por el mismo trillo por supuesto que haciendo acuerdos graduales con salvaguardias con excepciones para sus productos pero que le permitieron tener a un país chico mercados grandes vender productos uruguayos con trabajo los uruguayos no mandar uruguayos al mundo porque aquí no encuentran trabajo.
1;-0.296;0;0;0;No puedo estar más de acuerdo contigo Oscar.
1;-0.296;0;0;0;la defensa de la democracia y los derechos humanos no.
0;0.0;0;0;1;tiene ningún lente ideológico.
0;0.0;0;0;1;tiene que ser.
0;0.0;0;0;1;Una política de Estado que cualquier tipo de gobierno uruguayo tiene que llevar adelante.
1;-0.6808;0;0;0;A nosotros lo que pasa en Venezuela y no pasa en Cuba nos parece repudiable lo que pasa con los inmigrantes guatemaltecos que son separados de sus hijos en Estados Unidos no parece repudiable como nos parece repudiable todo lo que tú acabas de mencionar y no tendríamos inconveniente alguno en condenarlo con la mayor severidad.
0;0.0;0;0;1;Nosotros vamos a tener una política exterior basada en el interés nacional vamos a tener relaciones diplomáticas y comerciales con todos los países cordiales y correctas los asuntos de Defensa de Derechos Humanos de la democracia hay que analizarlos a través de los organismos pertinentes de las Naciones Unidas de la OEA pero siempre en defensa de nuestros valores.
0;0.0;0;0;1;Nosotros reconocemos el rol social y el rol legítimo que tienen los sindicatos en la protección.
0;0.0;0;0;1;Y en la promoción de los derechos de los trabajadores.
1;-0.296;0;0;0;Acá eso no está.
0;0.0;0;0;1;en cuestión.
0;0.0;0;0;1;esta cuestión tiene que ver con la forma en que se organizan y desde el paradigma en que vemos las relaciones laborales.
0;0.0;0;0;1;si son de conflicto de confrontación.
1;-0.296;0;0;0;de lucha de clases donde hay un explotador que es el empresario y un explotado que es el trabajador porque en esa lógica lo que se le quita a uno es lo que obtiene el otro no es así como funciona el mundo.
0;0.0;0;0;1;Donde funcionan bien las relaciones laborales.
1;-0.296;0;0;0;Entonces empresarios y trabajadores trabajan de manera cooperativa y eso es lo que nosotros vamos a promover la figura del empresario es fundamental como la del trabajador se complementan y si no miremos el Fondes experimento del Frente Amplio en donde se procuró remover al empresario empresario explotador empresa manejada.
0;0.0;0;0;1;Dores la enorme mayoría se funden muchas de ellas ni siquiera pueden empezar a trabajar ni siquiera a funcionar.
0;0.0;0;0;1;Nosotros vamos a promover relaciones cooperativas relaciones basadas en la confianza y en la prosperidad compartida.
1;-0.296;0;0;0;Esto es posible si entendemos el concepto de productividad no como.
0;0.0;0;0;1;que vamos a exprimir al trabajador para que gane el empresario sino hacer las cosas mejor.
0;0.0;0;0;1;Y. de otra forma para que el empresario gane el trabajador gane la sociedad ganamos todos.
0;0.0;0;0;1;vamos.
0;0.0;0;0;1;a terminar con la ocupación de los lugares de trabajo.
1;-0.296;0;0;0;Esto no es un derecho.
1;-0.296;0;0;0;Cesar las actividades para hacer una huelga es un derecho ocupar una propiedad que no te pertenece y encima impedirme a trabajadores que quieren trabajar el acceso.
1;-0.296;0;0;0;Este no es un derecho.
0;0.0;0;0;1;Viola nuestra Constitución.
1;-0.296;0;0;0;Tan es así que el sector público no están permitidas las ocupaciones tan solo permitidas en el sector privado.
0;0.0;0;0;1;Los sindicatos tienen un rol social para proteger los derechos de los trabajadores.
1;-0.7003;0;0;0;Los sindicatos sin embargo no pueden ni crean empleo más aún ni siquiera tienen la capacidad de proteger los empleos que se pierden.
1;-0.296;0;0;0;Se perdieron 60000 empleos en los últimos cuatro años y no hay nada que los sindicatos pudieran hacer para evitarlo.
0;0.0;0;0;1;El único creador de empleo la única persona que crea empleo el único fabricante de empleos es el empresario.
1;-0.296;0;0;0;Tenemos que cuidarlo un poco tenemos que incentivarlo un poco más en estos tiempos en que invertir en Uruguay es algo que hace falta para poder generar empleo y si no vamos por esa vía.
1;-0.5574;0;0;0;Si queremos un mundo sin empresarios vamos por la vía de Cuba y Venezuela y ya sabemos de donde eso termina.
0;0.0;0;0;1;Por eso te digo la próxima vez que veas un empresario dale un abrazo y decirle muchas gracias por ser como sos.
0;0.0;0;0;1;Oscar.
0;0.0;0;0;1;La huelga existe desde 1934 es un derecho legítimo consagrado por la Constitución de la República.
0;0.0;0;0;1;Nadie va a dar marcha atrás con el derecho de huelga yo estoy hablando de la ocupación de los lugares de trabajo que es ilegítima viola los convenios internacionales viola la Constitución de la República el derecho de propiedad la libertad de trabajo.
1;-0.6808;0;0;0;O acaso el derecho de los trabajadores que no adhieren a la ocupación y que no pueden entrar a su lugar de trabajo no se protege que son carneros.
1;-0.296;0;0;0;A eso no lo protegemos.
0;0.0;0;0;1;Segundo de las cooperativas el régimen cooperativo es un régimen legítimo aceptado en una economía de mercado en el que se organizan propietarios productores trabajadores.
0;0.0;0;0;1;Eso poco y nada tiene que ver con empresas comerciales industriales manejadas exclusivamente por trabajadores como la del Fondes que ya vemos cómo terminaron todas fundidas.
0;0.0;0;0;1;El… De vuelta a buscar los derechos de los trabajadores.
1;-0.296;0;1;0;No.
1;-0.296;0;0;0;creo que un batllista no le van a enseñar a ustedes cómo se protegen los derechos de los trabajadores.
1;0.0516;0;0;0;Creo que lo allí mismo ha sido vanguardia en la protección de los derechos de los trabajadores y no niego.
1;0.0516;0;0;0;no niego los avances que ha habido durante la gestión del Frente Amplio en proteger ulteriormente algunos de esos derechos.
0;0.0;0;0;1;Derechos que vamos a preservar lo que.
0;0.0;0;0;1;Oscar son los disparates.
0;0.0;0;0;1;Hay 60000 personas que perdieron su empleo.
1;-0.296;0;0;0;Uno de cada cuatro jóvenes hoy quieren trabajar no encuentran trabajo.
1;-0.296;0;0;0;El que perdió su trabajo no lo puede recuperar hay 500 tambos familiares que cerrar.
2;0.34;0;0;0;capital productivo que se ha perdido y que terminamos.
0;0.0;0;0;1;mandando a los cinturones de pobreza de Montevideo a recoger contenedores.
0;0.0;0;0;1;Tenemos que ser razonables hay ciertas cosas que van más allá de lo razonable y que tenemos que rebalancear nada más.
1;-0.296;0;0;0;Un Estado inteligente es un Estado amigo el desarrollo y una poco inteligente no lo es.
1;-0.296;0;0;0;No hay contraposición entre Estado y mercado se necesitan mutuamente.
0;0.0;0;0;1;Acá de lo que estamos hablando es de este estado aquí y ahora el Estado que administra el Frente Amplio.
0;0.0;0;0;1;y lo primero que tenemos es un Estado.
0;0.0;0;0;1;que nos cobra mucho y que nos da poco en cantidad y en calidad a cambio nos cobra impuestos finlandeses y nos da servicio latinoamericano.
2;0.34;0;0;0;Es un Estado que ha hecho un uso político escandaloso de los recursos públicos.
0;0.0;0;0;1;Déjeme darle algún ejemplo miren.
0;0.0;0;0;1;esto es el empleo público.
0;0.0;0;0;1;esto es lo que creció el empleo público 70.000 vínculo laboral durante la gestión del Frente Amplio el esfuerzo que se hizo por tratar de reacondicionar la fuerza de trabajo del sector público aumentado de manera.
0;0.0;0;0;1;enorme.
0;0.0;0;0;1;y que obtuvimos a cambio mejor salud mejor educación.
0;0.0;0;0;1;mejor seguridad.
1;-0.296;0;0;0;Creo que lo que obtuvimos es un choclo que ahora no sabemos cómo hacemos para financiar las empresas del Estado.
0;0.0;0;0;1;han estado a sus anchas cómodamente haciendo de las suyas.
0;0.0;0;0;1;Un ejemplo la desulfurizadora la planta de combustible para producir bajo contenido de azufre se presupuestó en 90 millones de dólares terminó costando 420 unidades cinco veces más.
0;0.0;0;0;1;Qué hiciste para que te cueste cinco veces más.
1;-0.296;0;0;0;Nació vieja porque el gasoil lo bajo contenido de azufre no lo puede usar la maquinaria agrícola moderna porque funde los motores.
0;0.0;0;0;1;Una planta que nació vieja y que costó cinco veces más.
2;0.4767;0;0;0;Hicimos una fiesta para inaugurar la que nos costó a los contribuyentes uruguayos 560 mil dólares nada más ni nada menos saben cómo se llama esto.
0;0.0;0;0;1;Incompetencia.
0;0.0;0;0;1;amiguismo.
1;-0.5267;0;0;0;acomodo y por esto es que pagamos el gasoil más caro de las Américas 30 por ciento más caro que lo que pagan los chilenos y por eso es que le ponemos una mochila a nuestra producción que no puede competir y no puede generar empleos legítimos.
0;0.0;0;0;1;Pero.
1;-0.296;0;0;0;además tenemos un Estado que no tiene una cultura de evaluar sus resultados y el impacto de lo que hace.
0;0.0;0;0;1;el Estado uruguayo se sabe muy bien cuánto gasta.
1;-0.296;0;0;0;Se sabe muy bien en qué gasta pero no se sabe qué impacto tiene lo que gasta ni menos aún si el impacto se obtiene a un costo razonable.
1;-0.296;0;0;0;Si no Migré multiplicamos por 12 el presupuesto de la educación ya que estamos penúltimos en graduación.
0;0.0;0;0;1;El liceo como hace 15 años seguimos penultima como hace 15 años.
0;0.0;0;0;1;Los demás avanzaron pero nosotros avanzamos menos.
0;0.0;0;0;1;Este es un estado inaceptable de las cosas una falta de respeto para el contribuyente una sensación de impunidad.
1;-0.296;0;0;0;El Estado dueño del poder y de los recursos de los contribuyentes que no puede seguir.
0;0.0;0;0;1;Podés tirar cien números.
1;-0.296;0;0;0;La realidad de educación es la real la que vive la gente la que siente la gente no la que tú le contás con todos esos números.
0;0.0;0;0;1;19 de cada 100 terminan el liceo en las periferias urbanas 40 de cada 100 terminan a nivel nacional.
1;-0.296;0;0;0;Una madre de las láminas en Bella Unión o en la cooperativa de vivienda de Maroñas me dice mi hija de esto no sabe leer.
1;-0.296;0;0;0;No preciso en los informes del Instituto de Evaluación Educativa.
0;0.0;0;0;1;Esta es la realidad.
0;0.0;0;0;1;La educación es hoy un desastre.
1;-0.7003;0;0;0;Los molinos de lo que ustedes tanto se jactan son los que ustedes se opusieron cuando el doctor Sanguinetti y el doctor Batlle permitieron que los privados pudieran generar energía eléctrica sin eso si ustedes hubieran salido con la suya no lo hubieran logrado.
0;0.0;0;0;1;Y tercero claro que gobiernos colorados blancos intendencias gastaron también en exceso y gastaron mal.
1;-0.5267;0;0;0;No nos hacemos cargo somos nuevos en política de los acomodos de vengan de donde vengan no nos importa.
0;0.0;0;0;1;Oscar las tarifas públicas bajan en todo el mundo porque hay una innovación tecnológica 15 años en mucho tiempo.
0;0.0;0;0;1;Lo importante es cómo evolucionan respecto a los países que compiten con nosotros.
0;0.0;0;0;1;Lamentablemente tenemos la tarifa más caras de gasoil en el mundo.
1;-0.5267;0;0;0;No podemos competir no podemos generar empleos legítimos.
0;0.0;0;0;1;El tema de que siempre votamos por la oposición déjame tomarte asunto con el tema de las Fuerzas Armadas.
0;0.0;0;0;1;Sabes que nosotros planteamos que queríamos volver a discutir el rol los cometidos el tamaño y el financiamiento de las Fuerzas Armadas porque creemos que el Uruguay se debe.
0;0.0;0;0;1;Esa discusión se debe esa discusión para cicatrizar de manera definitiva la herida que se abrió con el golpe de Estado.
0;0.0;0;0;1;Así que.
1;-0.296;0;0;0;no queremos heredar la Carta Orgánica que ustedes voten.
0;0.0;0;0;1;Queremos tener una propia porque pensamos ser gobierno a partir del primero de marzo por supuesto que esto.
0;0.0;0;0;1;El tema de los desaparecidos es lo que el Estado va a tener responsabilidad mientras haya una sola familia que necesite hacer su duelo.
0;0.0;0;0;1;Vamos a promover.
0;0.0;0;0;1;varias iniciativas que habrá que construir.
0;0.0;0;0;1;con otros porque el próximo gobierno necesariamente como este va a ser de coalición primero y como dije.
0;0.0;0;0;1;Vamos a terminar con la diplomacia de cóctel.
0;0.0;0;0;1;Vamos hacia una diplomacia comercial al estilo neozelandesa y chilena.
0;0.0;0;0;1;Vamos por un Mercosur zona de libre comercio ágil dinámica que nos permita.
1;-0.7003;0;0;0;no sólo mantener las preferencias con Argentina y Brasil sino negociar con terceros países y la entrada de nuestros productos sin pedirle que tenemos que pedir permiso a Argentina Brasil es decir recuperar nuestra soberanía comercial.
0;0.0;0;0;1;3.
0;0.0;0;0;1;Vamos a terminar con las conductas de gasto público irresponsable.
0;0.0;0;0;1;Vamos por una ley de responsabilidad fiscal a la chilena votada en el gobierno de Bachelet para ahorrar en tiempos de vacas gordas.
1;-0.6249;0;0;0;Eso le pone límite año a año al gasto que puede hacer el Poder Ejecutivo y en tiempos de vacas flacas nos protege contra los ajustes fiscales contra el atraso cambiario contra la crisis y da previsibilidad vamos a reducir el gasto público con fuerte convicción primero y antes que nada revirtiendo en parte este desaguisado que se cometió en los gobiernos del Frente Amplio.
1;-0.296;0;0;0;Vamos a. no reponer vacantes por los próximos cinco años y al cabo de cinco años vamos a ahorrar 1100 millones de dólares por año para bajar este déficit.
1;-0.296;0;0;0;Comprometiendo la estabilidad del país y que tarde o temprano no va a explotar en la cara.
0;0.0;0;0;1;Vamos a ponerle el cascabel al gato a las empresas del Estado.
0;0.0;0;0;1;Vamos a crear unidades reguladoras fuertes que le van a fijar los precios precios de competencia precios a los que esta producción puedan competir y crear empleos legítimos y designar en los directorios en las alta gerencia personas competentes capaces experientes en el manejo de organizaciones complejas.
0;0.0;0;0;1;que sean.
0;0.0;0;0;1;tomadas por concurso de méritos y evaluadas en su gestión.
1;-0.296;0;0;0;Y si no rinden a Dios que te curen horas se terminaron los directorios integrados por políticos se terminaron los indiques y las Carolinas coses nos proponemos ahorrar 1200 millones de dólares por año.
0;0.0;0;0;1;Al cabo de cinco años podremos bajar 30 por ciento hoy 20 por ciento de la electricidad y nos van a sobrar 800 millones de dólares para bajar aún más el déficit fiscal.
0;0.0;0;0;1;Vamos a soltarle la rienda al campo vamos a poner a andar al arroz.
0;0.0;0;0;1;Vamos a poner a andar a la lechería cadenas productivas absolutamente formidable con incentivos parecidos a los que recibe la forestación.
2;0.3612;0;0;0;Vamos a derogar el decreto que interpreta la ocupación como una extensión natural del derecho de huelga.
0;0.0;0;0;1;Vamos por una policía de primer mundo bien entrenada con formación terciaria bien remunerada.
0;0.0;0;0;1;que pueda cumplir su tarea con dignidad y que pueda cumplir su tarea con efectividad.
0;0.0;0;0;1;Y vamos por una política carcelaria que permita reeducar y reintegrar a aquellos que hoy terminan en una escuela del crimen y salen peor de lo contrario.
0;0.0;0;0;1;El clientelismo lo vamos a terminar venga de donde venga Oscar vamos a cambiar eso.
0;0.0;0;0;1;y vamos a hacer algo y eso va a ser un mejor estado.
0;0.0;0;0;1;Y vamos a llevar más Estado allí donde se necesita.
0;0.0;0;0;1;Tú hablabas de más Estado para los vulnerables.
0;0.0;0;0;1;Nosotros vamos a crear una red de 136 liceos públicos modelo.
1;-0.5574;0;0;0;que vamos a instalar en todos los cinturones de pobreza que rodean a las ciudades para atender 80000 chiquilines que hoy condenamos a una vida sin futuro simplemente por el barrio en el que nace.
0;0.0;0;0;1;Los condenamos a la changa la informalidad la dependencia o al delito sabemos en qué barrio tienen que estar en cada una de las ciudades del país.
0;0.0;0;0;1;Sabemos exactamente cuánto nos van a costar 160 millones de dólares por año y sabemos que esto se paga solo en 12 años porque en lugar de dejar los chiquilines a la deriva lo vamos a mandar a la universidad a la UTU a un trabajo digno.
0;0.0;0;0;1;Está la inversión social y económica de mayor rentabilidad del país pueda imaginar.
0;0.0;0;0;1;A ver Oscar tú dijiste acá dos cosas muy importantes en tu intervención anterior.
0;0.0;0;0;1;Hablaste de proteger a los más vulnerables.
0;0.0;0;0;1;Nosotros con nuestra red de 136 liceos vamos a intentar hacerlo.
0;0.0;0;0;1;Una experiencia que funciona que les da a los chiquilines erario híper completo contención familia comunidad.
1;-0.296;0;0;0;le permite construir un futuro allí donde hoy lamentablemente no lo tienen ni en algo más.
0;0.0;0;0;1;Quiero compartir contigo.
1;-0.5267;0;0;0;El foco que vamos a poner en la primera infancia en los primeros tres años de vida de un chiquilín se juega buena parte de su destino esto no quiere decir como muchos erróneamente creen que no son recuperables en etapas más tardías.
0;0.0;0;0;1;Simplemente cuesta muchísimo más recuperarlos vamos a darle una enorme importancia para fortalecer a los centros CAIF y un programa que yo le reconozco al Frente Amplio como bueno que es Uruguay Crece Contigo.
0;0.0;0;0;1;Oscar De la misma manera.
0;0.0;0;0;1;Mi agradecimiento.
0;0.0;0;0;1;Yo te respeto por algo muy importante.
0;0.0;0;0;1;porque yo sé que tú crees en lo que pensás y a mí eso me basta.
1;-0.296;0;0;0;No importa si pensamos distinto.
1;0.1027;0;0;0;Yo sé que tú sos honesto en defender tus ideales y tus convicciones.
0;0.0;0;0;1;Primero.
0;0.0;0;0;1;yo vengo de la academia.
0;0.0;0;0;1;yo fui una afortunada en mi vida porque mis padres.
0;0.0;0;0;1;lo dejaron todo para educarme.
0;0.0;0;0;1;y todo lo que me dejaron puesto en mi educación.
0;0.0;0;0;1;y estoy muy orgulloso también del origen que tengo de haber podido llegar a lo máximo en mi formación académica haber hecho un doctorado en Estados Unidos y ponerlo ahora esos conocimientos al servicio de la patria al servicio del país.
0;0.0;0;0;1;En.
0;0.0;0;0;1;1950 hace apenas tres generaciones.
0;0.0;0;0;1;el Uruguay.
0;0.0;0;0;1;era uno de los 20 países más ricos del mundo más precisamente estábamos en el lugar número 17. en compañía de Alemania de Bélgica.
0;0.0;0;0;1;de Francia un trabajador uruguayo ganaba 50 por ciento más que un español.
0;0.0;0;0;1;Hace apenas tres generaciones.
0;0.0;0;0;1;Ese es el país al que llegó mi padre como inmigrante de la guerra.
0;0.0;0;0;1;Ese era un país de primera a un país de primera de verdad.
0;0.0;0;0;1;ese país que soñó en Europa.
0;0.0;0;0;1;Batlle y Ordóñez.
0;0.0;0;0;1;cuando allí vivía como un pequeño país Maelo y luego construyó un país amable justo.
0;0.0;0;0;1;que convivía en armonía orgulloso de tener un pueblo educado donde los valores cívicos siempre tuvieran raíces profundas.
1;-0.296;0;0;0;Ese país evocaba consignas como el Uruguay no hay la Suiza de América o la Tacita de Plata.
0;0.0;0;0;1;Generaciones después estamos en el puesto 57 un uruguayo gana casi casi la mitad que un español en la frontera del desarrollo.
0;0.0;0;0;1;Nos queda cada vez más lejos.
1;-0.296;0;0;0;y los jóvenes uruguayos sueñan con irse porque qué no piensan que pueden construir un proyecto de vida afincados aquí en la tierra que los vio nacer.
0;0.0;0;0;1;Nosotros.
0;0.0;0;0;1;llegamos a la política para trabajar para dejarle a nuestros hijos un pequeño país modelo ahora para el siglo 21.
0;0.0;0;0;1;Venimos con el espíritu transformador y optimista de ese primer Batllismo pero para eso necesitamos tener un espacio en el sistema político.
2;0.2732;0;0;0;Para eso necesitamos que el Partido Colorado vuelva a recuperar ese vigor esa frescura esa vitalidad que le permita volver a ser una gran herramienta de transformación del país.
2;0.34;0;0;0;De hecho es el único que ha estado en buena medida alejado del poder en los últimos 15 años.
0;0.0;0;0;1;El próximo.
0;0.0;0;0;1;30 de junio.
1;-0.296;0;0;0;Nos jugamos el futuro no en octubre.
1;-0.296;0;0;0;No nos jugamos el 30 de junio.
0;0.0;0;0;1;Yo les pido a ustedes que entren a la cancha.
0;0.0;0;0;1;Que den el puntapié inicial para iniciar este cambio histórico.
0;0.0;0;0;1;Que vayan a votar el 30.
0;0.0;0;0;1;Si nos toca gobernar lo vamos a hacer.
0;0.0;0;0;1;Con responsabilidad.
1;-0.296;0;0;0;Y si no nos toca lo vamos a representar para empujar por los cambios que el Uruguay necesita.
0;0.0;0;0;1;Vamos por un pequeño país.
1;-0.296;0;0;0;No newline at end of file
